firm,sector,avg_prod_loss,damaged,defaulted,setup_nb,rep
0,5,0.0,0,0,0,0
1,0,0.5494617027963112,0,1,0,0
2,2,0.5300230060298158,0,1,0,0
3,1,0.9945588191518021,0,1,0,0
4,5,0.9949982967265644,0,1,0,0
5,5,0.993135656046258,0,1,0,0
6,7,0.9986779804027334,1,1,0,0
7,0,0.05007024675409075,0,0,0,0
8,3,0.9015268493169286,0,1,0,0
9,0,0.9987440765114546,1,1,0,0
10,1,0.4191523286442617,0,1,0,0
11,4,0.6518816768835217,0,1,0,0
12,0,0.415282036854939,0,1,0,0
13,1,0.11569424583812497,0,0,0,0
14,5,0.9948165768407449,0,1,0,0
15,4,0.0,0,0,0,0
16,1,0.000416324014481243,0,0,0,0
17,4,0.0,0,0,0,0
18,6,0.007862312433800308,1,0,0,0
19,0,0.9653393315034382,0,1,0,0
20,6,0.0,0,0,0,0
21,5,0.00018492273228957464,0,0,0,0
22,2,0.8962301379225018,0,1,0,0
23,1,0.6806691317158036,0,1,0,0
24,7,0.0,0,0,0,0
25,2,0.9969154612596548,1,1,0,0
26,0,0.901674640337359,0,1,0,0
27,0,0.9937350177532053,0,1,0,0
28,6,0.9975351523063818,1,1,0,0
29,4,0.5954665682873996,0,1,0,0
30,6,0.994800706046917,0,1,0,0
31,5,0.9952377480547453,0,1,0,0
32,4,0.9941346403077802,0,1,0,0
33,7,0.0,0,0,0,0
34,3,0.5023660006148029,0,1,0,0
35,4,0.9468577283670873,0,1,0,0
36,6,0.9931370559569787,0,1,0,0
37,4,0.15994745694763543,0,0,0,0
38,6,0.5260345139039058,0,1,0,0
39,4,0.5099851390331162,0,1,0,0
40,5,0.9243680370402249,0,1,0,0
41,0,0.9759592943001884,0,1,0,0
42,1,0.0,0,0,0,0
43,2,0.03661895546987046,0,0,0,0
44,0,0.9310341552705216,0,1,0,0
45,1,0.007722768423491154,0,0,0,0
46,0,0.9660992325419476,0,1,0,0
47,2,0.0,0,0,0,0
48,5,0.9966248864950755,1,1,0,0
49,2,0.0,0,0,0,0
50,2,0.9943127858620264,0,1,0,0
51,1,0.9216977199530185,0,1,0,0
52,2,0.9947361813851922,0,1,0,0
53,7,0.9712638938208226,0,1,0,0
54,5,0.9774082222489602,0,1,0,0
55,4,0.9510056473733975,1,1,0,0
56,1,0.0068046886167174815,0,0,0,0
57,5,0.9946207513428831,0,1,0,0
58,1,0.0,0,0,0,0
59,3,0.0,0,0,0,0
60,7,0.51842346565149,1,1,0,0
61,5,0.9954193343360879,0,1,0,0
62,4,0.0065660028208029434,1,0,0,0
63,5,0.0,0,0,0,0
64,6,0.9653469001109521,0,1,0,0
65,6,0.9943698617666573,0,1,0,0
66,1,0.0,0,0,0,0
67,0,0.0,0,0,0,0
68,2,0.9950679878689747,0,1,0,0
69,2,0.9941454052154293,0,1,0,0
70,1,0.9221287477793578,0,1,0,0
71,7,0.9941442138892187,0,1,0,0
72,7,0.0,0,0,0,0
73,2,0.6903972387830993,0,1,0,0
74,5,0.328136872213812,1,1,0,0
75,3,0.9187088477111952,0,1,0,0
76,7,0.0,0,0,0,0
77,3,0.9797558136890986,0,1,0,0
78,2,0.1351486126411419,0,0,0,0
79,1,0.863807392652036,0,1,0,0
80,4,0.7288356978439107,0,1,0,0
81,2,0.8892299493447953,0,1,0,0
82,4,0.02023670684338778,0,0,0,0
83,7,0.9099452571478674,0,1,0,0
84,3,0.0,0,0,0,0
85,1,0.36110535061130383,0,1,0,0
86,7,0.08901566711031077,0,0,0,0
87,4,0.9762826722565426,0,1,0,0
88,0,0.9259605769936153,0,1,0,0
89,0,0.9946908766061331,0,1,0,0
90,0,0.9938018492778394,0,1,0,0
91,5,0.5329989424769191,0,1,0,0
92,6,0.48423332665303503,0,1,0,0
93,3,0.9732860964130812,0,1,0,0
94,0,0.0,0,0,0,0
95,3,0.5590060362720797,0,1,0,0
96,7,0.51849757068657,0,1,0,0
97,4,0.968964155419334,0,1,0,0
98,7,0.004618364697561262,0,0,0,0
99,6,0.995446485851723,0,1,0,0
0,5,0.9953444227075287,0,1,0,1
1,0,0.06815862605734901,0,0,0,1
2,2,0.9871030189921547,0,1,0,1
3,1,0.0,0,0,0,1
4,5,0.0,0,0,0,1
5,5,0.43283532146671566,0,0,0,1
6,7,0.0,0,0,0,1
7,0,0.9952442883342272,0,1,0,1
8,3,0.0,0,0,0,1
9,0,0.9849591713974855,0,1,0,1
10,1,0.7824402144646221,0,0,0,1
11,4,0.0,0,0,0,1
12,0,0.8971215557802412,0,1,0,1
13,1,0.8674579576756768,0,1,0,1
14,5,0.16089847882169714,0,0,0,1
15,4,0.0,0,0,0,1
16,1,0.0,0,0,0,1
17,4,0.007611296148438156,1,0,0,1
18,6,0.0,0,0,0,1
19,0,0.0,0,0,0,1
20,6,0.6977641928447837,0,0,0,1
21,5,0.8127801492623831,0,1,0,1
22,2,0.006724292005052701,1,0,0,1
23,1,0.9949399496598316,0,1,0,1
24,7,0.8889570197882813,1,1,0,1
25,2,0.9870711696869576,0,1,0,1
26,0,0.9949918774949473,0,1,0,1
27,0,0.007222725155471844,1,0,0,1
28,6,0.0,0,0,0,1
29,4,0.9945380828036233,0,1,0,1
30,6,0.9949392854675119,0,1,0,1
31,5,0.9959028767697337,0,1,0,1
32,4,0.0,0,0,0,1
33,7,0.0,0,0,0,1
34,3,0.0,0,0,0,1
35,4,0.9954362870176026,0,1,0,1
36,6,0.0,0,0,0,1
37,4,0.0,0,0,0,1
38,6,0.0,0,0,0,1
39,4,0.0,0,0,0,1
40,5,0.0,0,0,0,1
41,0,0.08055552462105936,0,0,0,1
42,1,0.7243992151833425,0,0,0,1
43,2,0.0,0,0,0,1
44,0,0.8169713931117047,0,0,0,1
45,1,0.017315678294400522,0,0,0,1
46,0,0.995416215238101,0,1,0,1
47,2,0.9988017827622597,1,1,0,1
48,5,0.0,0,0,0,1
49,2,0.006762166180134425,1,0,0,1
50,2,0.0,0,0,0,1
51,1,0.022914290789846418,0,0,0,1
52,2,0.9862151168551918,0,1,0,1
53,7,0.0,0,0,0,1
54,5,0.9956025881715505,0,1,0,1
55,4,0.9847308937781679,0,1,0,1
56,1,0.9947304019104819,0,1,0,1
57,5,0.12319383898901035,0,0,0,1
58,1,0.006906313954917502,1,0,0,1
59,3,0.0,0,0,0,1
60,7,0.785909502319864,0,0,0,1
61,5,0.9944927364738069,0,1,0,1
62,4,0.9945163651510649,0,1,0,1
63,5,0.0,0,0,0,1
64,6,0.0,0,0,0,1
65,6,0.9953579632583175,0,1,0,1
66,1,0.0,0,0,0,1
67,0,0.003403341918261265,0,0,0,1
68,2,0.0,0,0,0,1
69,2,0.995327191122744,0,1,0,1
70,1,0.0,0,0,0,1
71,7,0.000292348463426087,0,0,0,1
72,7,0.0,0,0,0,1
73,2,0.08995064659800278,0,0,0,1
74,5,0.0,0,0,0,1
75,3,0.0,0,0,0,1
76,7,0.9951572435473557,0,1,0,1
77,3,0.8476474429401465,0,1,0,1
78,2,0.998231461939266,1,1,0,1
79,1,0.08167270145348249,0,0,0,1
80,4,0.00708314437921144,1,0,0,1
81,2,0.0,0,0,0,1
82,4,0.9108930009377423,0,1,0,1
83,7,0.9947345542016061,0,1,0,1
84,3,0.03690471970436975,0,0,0,1
85,1,0.0,0,0,0,1
86,7,0.9813390503058868,0,1,0,1
87,4,0.9422641425822545,0,1,0,1
88,0,0.0,0,0,0,1
89,0,0.00660697212015,0,0,0,1
90,0,0.9096843081135191,0,0,0,1
91,5,0.9949517567905225,0,1,0,1
92,6,0.006541983906825255,1,0,0,1
93,3,0.0,0,0,0,1
94,0,0.0,0,0,0,1
95,3,0.9946392334337953,0,1,0,1
96,7,0.0810730227673904,0,0,0,1
97,4,0.980610627616336,0,1,0,1
98,7,0.0,0,0,0,1
99,6,0.0,0,0,0,1
0,5,0.9796730555636016,0,1,0,2
1,0,0.9346872490750758,0,1,0,2
2,2,0.08802040037805892,0,0,0,2
3,1,0.8443730027915813,0,1,0,2
4,5,0.857701338978682,1,1,0,2
